,City,Lat,Lng,Max Temp. (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,Shakhtinsk,49.71,72.59,33.8,43,33,8.95,KZ,1603125274
1,Khatanga,71.97,102.5,9.48,95,38,4.88,RU,1603125274
2,Mil'kovo,54.72,158.62,33.13,91,88,5.26,RU,1603125274
3,Bambous Virieux,-20.34,57.76,75.2,73,40,8.05,MU,1603125159
4,Adrar,20.5,-10.07,92.89,13,0,14.97,MR,1603125275
5,Cockburn Town,21.46,-71.14,81.93,74,83,11.97,TC,1603125275
6,Batagay-Alyta,67.8,130.41,14.81,88,100,2.68,RU,1603125276
7,Gornopravdinsk,60.05,69.9,38.14,98,100,5.66,RU,1603125276
8,Busselton,-33.65,115.33,59.0,64,3,9.86,AU,1603125276
9,San Quintín,30.48,-115.95,76.73,57,0,15.61,MX,1603125185
10,Kloulklubed,7.04,134.26,77.0,94,75,7.07,PW,1603125277
11,Tuktoyaktuk,69.45,-133.04,20.59,97,97,4.43,CA,1603124986
12,Lebu,-37.62,-73.65,56.25,60,2,9.95,CL,1603125012
13,Faanui,-16.48,-151.75,79.79,79,0,15.21,PF,1603125277
14,Lompoc,34.64,-120.46,53.6,100,90,6.6,US,1603125192
15,Thompson,55.74,-97.86,26.76,91,64,6.98,CA,1603125126
16,Tromsø,69.65,18.96,28.4,79,0,5.82,NO,1603125278
17,Stornoway,58.21,-6.39,50.0,87,75,9.17,GB,1603125278
18,Krasnoarmeysk,51.02,45.7,48.99,46,73,5.41,RU,1603125278
19,New Norfolk,-42.78,147.06,42.01,80,39,2.33,AU,1603125279
20,Carnarvon,-24.87,113.63,69.8,77,90,16.11,AU,1603125173
21,Berlevåg,70.86,29.09,37.4,77,75,12.75,NO,1603125279
22,High Level,58.52,-117.14,20.37,85,0,4.32,CA,1603125279
23,Ilovlya,49.3,43.98,53.6,58,40,6.71,RU,1603125280
24,Soledade,-28.82,-52.51,83.05,42,0,4.9,BR,1603124998
25,Vaini,-21.2,-175.2,69.8,77,20,9.17,TO,1603125280
26,Bara,10.37,10.73,78.8,69,20,5.82,NG,1603125280
27,Punta Arenas,-53.15,-70.92,46.4,49,40,31.09,CL,1603125005
28,Bulolo,-7.2,146.65,69.06,77,60,1.19,PG,1603125281
29,Zhob,31.34,69.45,60.04,22,0,1.59,PK,1603125281
30,Rikitea,-23.12,-134.97,73.63,79,0,14.79,PF,1603125144
31,Ponta do Sol,32.67,-17.1,73.4,69,20,9.17,PT,1603125281
32,Pleshanovo,52.83,53.48,49.3,96,100,5.46,RU,1603125282
33,Broome,42.25,-75.83,57.0,81,90,5.82,US,1603125162
34,Port Hardy,50.7,-127.42,51.53,82,77,10.29,CA,1603125001
35,Hithadhoo,-0.6,73.08,82.96,76,100,10.87,MV,1603125282
36,Ponta Delgada,37.73,-25.67,62.6,72,20,24.16,PT,1603125283
37,Albany,42.6,-73.97,60.01,68,83,6.69,US,1603125001
38,Hilo,19.73,-155.09,73.4,78,90,6.78,US,1603125283
39,Ahipara,-35.17,173.17,56.57,90,80,7.52,NZ,1603125192
40,Arraial do Cabo,-22.97,-42.03,80.6,61,40,18.34,BR,1603125000
41,Lüderitz,-26.65,15.16,64.24,59,0,25.84,NA,1603125284
42,Hobart,-42.88,147.33,46.4,93,39,3.36,AU,1603125043
43,Jamestown,42.1,-79.24,51.01,100,90,3.36,US,1603125284
44,Cidreira,-30.18,-50.21,73.2,71,0,13.62,BR,1603125082
45,Aklavik,68.22,-135.01,15.22,88,94,5.55,CA,1603125285
46,Qaanaaq,77.48,-69.36,27.05,82,15,14.9,GL,1603124989
47,Saint Paul Harbor,57.79,-152.41,30.2,92,1,3.36,US,1603125285
48,Mataura,-46.19,168.86,48.99,74,66,15.99,NZ,1603125285
49,Comodoro Rivadavia,-45.87,-67.5,59.0,24,75,21.92,AR,1603125161
50,Torbay,47.67,-52.73,57.99,92,95,6.04,CA,1603125286
51,Bethanien,-26.5,17.16,80.92,16,0,16.15,NA,1603125286
52,Khuzhir,53.19,107.34,33.1,85,100,16.89,RU,1603125286
53,Treinta y Tres,-33.23,-54.38,86.09,51,9,5.37,UY,1603125287
54,Yulara,-25.24,130.99,68.0,82,30,13.87,AU,1603125287
55,Bluff,-46.6,168.33,48.99,75,79,17.0,NZ,1603124992
56,Broken Hill,-31.95,141.43,53.6,54,99,6.93,AU,1603125063
57,Alice Springs,-23.7,133.88,68.0,72,28,6.93,AU,1603125020
58,Butaritari,3.07,172.79,81.72,73,100,12.03,KI,1603124995
59,Dalvik,65.97,-18.53,39.2,69,75,4.7,IS,1603125288
60,Meulaboh,4.14,96.13,78.57,83,95,2.55,ID,1603125190
