,City,Lat,Lng,Max Temp.,Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
2,Vardø,70.37,31.11,271.15,79,20,5.1,NO,1603082476
4,Hilo,19.73,-155.09,298.15,78,90,2.1,US,1603082477
8,Caramay,10.18,119.24,303.25,68,100,1.29,PH,1603082477
11,Albany,42.6,-73.97,284.82,68,71,2.71,US,1603082340
13,South Venice,27.05,-82.42,298.15,88,90,5.1,US,1603082478
14,Barrow,71.29,-156.79,267.15,85,90,6.7,US,1603082401
17,Srednekolymsk,67.45,153.68,268.64,98,89,1.05,RU,1603082479
18,Sarkand,45.41,79.92,287.25,33,3,2.15,KZ,1603082479
20,City of San Pedro,14.35,121.02,305.15,62,75,4.1,PH,1603082480
21,Salym,60.06,71.48,273.28,98,100,5.65,RU,1603082480
23,Tasiilaq,65.61,-37.64,274.15,80,99,0.5,GL,1603082481
25,Novosineglazovskiy,55.04,61.38,278.15,56,20,8.0,RU,1603082481
27,Dikson,73.51,80.55,269.53,96,26,12.38,RU,1603082201
28,Bathsheba,13.22,-59.52,298.15,88,20,2.1,BB,1603082482
30,Jamestown,42.1,-79.24,285.37,62,90,4.1,US,1603082191
33,Tyrma,50.08,132.17,277.84,63,97,3.46,RU,1603082483
35,Zyryanka,65.75,150.85,267.78,96,90,0.97,RU,1603082231
36,Ciudad del Carmen,18.63,-91.83,300.76,79,49,5.55,MX,1603082331
37,Guerrero Negro,27.98,-114.06,295.39,73,98,3.24,MX,1603082224
38,Málaga,36.72,-4.42,287.59,62,73,4.1,ES,1603082484
41,Juneau,58.3,-134.42,276.48,80,75,1.29,US,1603082444
42,Nikolskoye,59.7,30.79,275.15,87,90,3.0,RU,1603082485
45,Abrau-Dyurso,44.69,37.59,288.71,87,100,4.0,RU,1603082486
46,Giohar,2.78,45.5,300.31,67,49,5.51,SO,1603082486
48,Taganak,6.08,118.3,301.15,83,40,1.0,PH,1603082486
50,Buta,2.79,24.73,294.22,93,98,0.2,CD,1603082487
58,La Ronge,55.1,-105.28,269.15,79,90,1.0,CA,1603082199
59,Tuktoyaktuk,69.45,-133.04,263.15,92,40,2.1,CA,1603082207
60,Mehamn,71.04,27.85,271.15,92,90,1.5,NO,1603082193
61,Adelanto,34.58,-117.41,296.48,25,49,2.24,US,1603082490
63,San Patricio,28.02,-97.52,299.15,83,20,4.6,US,1603082490
65,Camacha,33.08,-16.33,296.15,83,40,11.3,PT,1603082490
66,Qaanaaq,77.48,-69.36,268.83,86,30,2.67,GL,1603082491
67,Rupert,42.62,-113.68,285.15,54,1,4.6,US,1603082491
68,Ternate,0.8,127.4,302.79,66,78,4.21,ID,1603082491
70,Saint Joseph,39.77,-94.85,279.26,48,75,4.6,US,1603082423
71,Orsk,51.2,58.57,279.15,38,0,3.0,RU,1603082492
73,Vila do Maio,15.13,-23.22,298.15,88,40,1.5,CV,1603082492
74,Neyshabur,36.21,58.8,288.63,25,0,0.79,IR,1603082492
76,Tiznit Province,29.58,-9.5,291.82,31,0,2.99,MA,1603082493
77,Saint Paul Harbor,57.79,-152.41,278.15,86,90,2.31,US,1603082219
78,St. George's,12.06,-61.75,300.15,88,20,3.7,GD,1603082493
79,Kapaa,22.08,-159.32,299.15,83,40,4.6,US,1603082494
80,Bani Walid,31.76,13.99,288.01,67,0,3.06,LY,1603082494
81,Raja,8.46,25.68,294.7,90,5,1.19,SS,1603082494
82,Narsaq,60.92,-46.05,278.15,80,98,3.1,GL,1603082494
83,Pravia,43.49,-6.15,289.26,76,99,0.5,ES,1603082494
85,Aklavik,68.22,-135.01,259.15,77,20,1.0,CA,1603082210
86,Kampot,10.62,104.18,302.15,83,40,2.6,KH,1603082495
89,Shimoda,34.67,138.95,291.15,59,75,8.2,JP,1603082496
91,Khatanga,71.97,102.5,261.23,91,2,3.45,RU,1603082497
92,Gimli,50.63,-96.99,271.48,98,4,1.79,CA,1603082497
93,Margate,51.38,1.39,283.71,66,100,5.59,GB,1603082250
96,Koło,52.2,18.64,279.82,95,12,1.79,PL,1603082498
97,Parabel',58.7,81.48,273.96,86,97,5.42,RU,1603082498
98,Del Rio,29.36,-100.9,300.15,47,1,5.7,US,1603082498
100,Pevek,69.7,170.31,269.9,94,12,7.42,RU,1603082499
103,Los Baños,14.17,121.18,305.15,62,75,4.1,PH,1603082499
105,Mabaruma,8.2,-59.78,296.5,89,24,1.21,GY,1603082500
106,Havelock,34.88,-76.9,290.37,95,51,3.16,US,1603082247
107,Beringovskiy,63.05,179.32,275.14,81,37,2.64,RU,1603082241
108,Hoquiam,46.98,-123.89,286.48,71,90,4.6,US,1603082500
110,Burē,10.7,37.07,288.08,89,62,1.59,ET,1603082501
111,Bakel,14.9,-12.46,301.89,26,0,2.2,SN,1603082501
112,Sitka,57.05,-135.33,277.15,86,75,2.1,US,1603082501
113,Bilma,18.69,12.92,297.65,19,0,1.59,NE,1603082502
120,Lompoc,34.64,-120.46,287.15,93,90,2.6,US,1603082503
121,Provideniya,64.38,-173.3,275.15,93,20,2.0,RU,1603082503
123,Tura,25.52,90.22,303.81,63,1,0.62,IN,1603082504
124,Ranong,9.97,98.63,302.15,83,75,3.1,TH,1603082411
125,Batagay-Alyta,67.8,130.41,264.95,88,98,1.35,RU,1603082504
126,Thompson,55.74,-97.86,268.15,100,75,2.1,CA,1603082504
127,Paamiut,61.99,-49.67,277.71,90,99,4.99,GL,1603082505
