,City,Lat,Lng,Max Temp.,Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,Rikitea,-23.12,-134.97,296.83,81,100,9.08,PF,1603082476
1,Posse,-14.09,-46.37,295.88,70,96,2.42,BR,1603082476
3,Port Keats,-14.25,129.55,304.66,57,58,4.7,AU,1603082476
5,New Norfolk,-42.78,147.06,290.37,64,96,1.79,AU,1603082477
6,Chui,-33.7,-53.46,289.48,92,0,2.99,UY,1603082477
7,Vaini,-21.2,-175.2,296.15,78,75,4.6,TO,1603082189
9,Mar del Plata,-38.0,-57.56,293.15,88,90,3.6,AR,1603082422
10,Alta Floresta,-9.88,-56.09,294.16,96,100,1.32,BR,1603082478
12,Ulladulla,-35.35,150.47,291.15,59,75,6.2,AU,1603082478
15,Lebu,-37.62,-73.65,281.74,85,31,0.84,CL,1603082479
16,Punta Arenas,-53.15,-70.92,275.93,79,75,12.9,CL,1603082479
19,Olinda,-8.01,-34.86,298.15,83,40,4.1,BR,1603082234
22,Vilhena,-12.74,-60.15,293.4,90,100,1.28,BR,1603082481
24,Avarua,-21.21,-159.78,298.15,78,46,2.6,CK,1603082481
26,Bluff,-46.6,168.33,285.37,73,93,5.81,NZ,1603082482
29,São Paulo de Olivença,-3.38,-68.87,295.55,90,92,0.62,BR,1603082482
31,Busselton,-33.65,115.33,300.37,33,8,4.3,AU,1603082483
32,Saldanha,-33.01,17.94,282.15,93,79,0.5,ZA,1603082189
34,Faanui,-16.48,-151.75,299.56,81,75,5.43,PF,1603082211
39,Mahébourg,-20.41,57.7,298.15,69,40,4.6,MU,1603082195
40,Lima,-12.04,-77.03,290.15,82,20,4.6,PE,1603082484
43,Castro,-24.79,-50.01,287.64,94,79,3.62,BR,1603082485
44,Mossamedes,-15.2,12.15,292.39,83,0,0.83,AO,1603082485
47,Banyumas,-7.51,109.29,293.15,69,71,2.82,ID,1603082486
49,Hobart,-42.88,147.33,290.37,66,75,5.1,AU,1603082305
51,Port Alfred,-33.59,26.89,290.64,78,76,2.62,ZA,1603082487
52,Kununurra,-15.77,128.73,311.15,29,30,3.1,AU,1603082280
53,Antsohihy,-14.88,47.99,302.09,36,0,3.71,MG,1603082488
54,Ancud,-41.87,-73.82,279.82,93,20,2.1,CL,1603082488
55,Namatanai,-3.67,152.43,302.91,63,53,1.81,PG,1603082214
56,Saint-Philippe,-21.36,55.77,299.26,69,75,6.2,RE,1603082488
57,Puerto Ayora,-0.74,-90.35,294.26,90,99,3.58,EC,1603082489
62,Port Elizabeth,-33.92,25.57,287.15,93,75,1.0,ZA,1603082490
64,Mariental,-24.63,17.97,294.15,22,0,3.63,NA,1603082490
69,Florianópolis,-27.61,-48.5,295.15,83,75,2.6,BR,1603082292
72,Ushuaia,-54.8,-68.3,275.15,69,40,5.7,AR,1603082205
75,Tuatapere,-46.13,167.68,285.37,74,93,5.36,NZ,1603082241
84,Grand Gaube,-20.01,57.66,299.82,61,0,5.36,MU,1603082495
87,Kieta,-6.22,155.63,301.97,69,62,0.61,PG,1603082496
88,Plettenberg Bay,-34.05,23.37,288.73,71,100,0.47,ZA,1603082496
90,Villa María,-32.41,-63.24,300.93,56,0,3.58,AR,1603082497
94,Cape Town,-33.93,18.42,288.71,87,86,3.6,ZA,1603082493
95,Manacapuru,-3.3,-60.62,298.15,94,20,1.0,BR,1603082497
99,Mataura,-46.19,168.86,285.37,73,99,5.81,NZ,1603082498
101,Rio Casca,-20.23,-42.65,293.17,76,100,2.44,BR,1603082499
102,Muswellbrook,-32.27,150.9,296.48,46,75,3.13,AU,1603082499
104,Betioky,-23.72,44.38,300.83,41,1,3.09,MG,1603082500
109,Hithadhoo,-0.6,73.08,301.64,75,74,6.4,MV,1603082501
114,Lorengau,-2.02,147.27,301.83,75,86,2.14,PG,1603082502
115,Carutapera,-1.2,-46.02,298.17,84,27,2.65,BR,1603082502
116,Norsup,-16.07,167.38,300.15,69,75,4.6,VU,1603082502
117,Eirunepé,-6.66,-69.87,295.78,90,93,0.73,BR,1603082502
118,Codrington,-38.27,141.97,286.57,74,96,3.79,AU,1603082503
119,Esperance,-33.87,121.9,295.15,60,75,3.6,AU,1603082503
122,Hermanus,-34.42,19.23,286.48,89,83,0.83,ZA,1603082204
129,Santa Cruz de la Sierra,-17.8,-63.17,298.15,73,12,2.6,BO,1603082279
131,Seddon,-37.81,144.89,289.26,72,90,5.7,AU,1603082505
132,Isangel,-19.55,169.27,297.7,73,43,5.36,VU,1603082506
136,Aranos,-24.13,19.12,293.23,24,8,1.21,NA,1603082507
