,City,Country,Lat,Lng,Max Temp. (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
0,Shakhtinsk,KZ,49.71,72.59,33.8,43,33,8.95,1603125274
1,Khatanga,RU,71.97,102.5,9.48,95,38,4.88,1603125274
2,Mil'kovo,RU,54.72,158.62,33.13,91,88,5.26,1603125274
3,Bambous Virieux,MU,-20.34,57.76,75.2,73,40,8.05,1603125159
4,Adrar,MR,20.5,-10.07,92.89,13,0,14.97,1603125275
5,Cockburn Town,TC,21.46,-71.14,81.93,74,83,11.97,1603125275
6,Batagay-Alyta,RU,67.8,130.41,14.81,88,100,2.68,1603125276
7,Gornopravdinsk,RU,60.05,69.9,38.14,98,100,5.66,1603125276
8,Busselton,AU,-33.65,115.33,59,64,3,9.86,1603125276
9,San Quintín,MX,30.48,-115.95,76.73,57,0,15.61,1603125185
10,Kloulklubed,PW,7.04,134.26,77,94,75,7.07,1603125277
11,Tuktoyaktuk,CA,69.45,-133.04,20.59,97,97,4.43,1603124986
12,Lebu,CL,-37.62,-73.65,56.25,60,2,9.95,1603125012
13,Faanui,PF,-16.48,-151.75,79.79,79,0,15.21,1603125277
14,Lompoc,US,34.64,-120.46,53.6,100,90,6.6,1603125192
15,Thompson,CA,55.74,-97.86,26.76,91,64,6.98,1603125126
16,Tromsø,NO,69.65,18.96,28.4,79,0,5.82,1603125278
17,Stornoway,GB,58.21,-6.39,50,87,75,9.17,1603125278
18,Krasnoarmeysk,RU,51.02,45.7,48.99,46,73,5.41,1603125278
19,New Norfolk,AU,-42.78,147.06,42.01,80,39,2.33,1603125279
20,Carnarvon,AU,-24.87,113.63,69.8,77,90,16.11,1603125173
21,Berlevåg,NO,70.86,29.09,37.4,77,75,12.75,1603125279
22,High Level,CA,58.52,-117.14,20.37,85,0,4.32,1603125279
23,Ilovlya,RU,49.3,43.98,53.6,58,40,6.71,1603125280
24,Soledade,BR,-28.82,-52.51,83.05,42,0,4.9,1603124998
25,Vaini,TO,-21.2,-175.2,69.8,77,20,9.17,1603125280
26,Bara,NG,10.37,10.73,78.8,69,20,5.82,1603125280
27,Punta Arenas,CL,-53.15,-70.92,46.4,49,40,31.09,1603125005
28,Bulolo,PG,-7.2,146.65,69.06,77,60,1.19,1603125281
29,Zhob,PK,31.34,69.45,60.04,22,0,1.59,1603125281
30,Rikitea,PF,-23.12,-134.97,73.63,79,0,14.79,1603125144
31,Ponta do Sol,PT,32.67,-17.1,73.4,69,20,9.17,1603125281
32,Pleshanovo,RU,52.83,53.48,49.3,96,100,5.46,1603125282
33,Broome,US,42.25,-75.83,57,81,90,5.82,1603125162
34,Port Hardy,CA,50.7,-127.42,51.53,82,77,10.29,1603125001
35,Hithadhoo,MV,-0.6,73.08,82.96,76,100,10.87,1603125282
36,Ponta Delgada,PT,37.73,-25.67,62.6,72,20,24.16,1603125283
37,Albany,US,42.6,-73.97,60.01,68,83,6.69,1603125001
38,Hilo,US,19.73,-155.09,73.4,78,90,6.78,1603125283
39,Ahipara,NZ,-35.17,173.17,56.57,90,80,7.52,1603125192
40,Arraial do Cabo,BR,-22.97,-42.03,80.6,61,40,18.34,1603125000
41,Lüderitz,NA,-26.65,15.16,64.24,59,0,25.84,1603125284
42,Hobart,AU,-42.88,147.33,46.4,93,39,3.36,1603125043
43,Jamestown,US,42.1,-79.24,51.01,100,90,3.36,1603125284
44,Cidreira,BR,-30.18,-50.21,73.2,71,0,13.62,1603125082
45,Aklavik,CA,68.22,-135.01,15.22,88,94,5.55,1603125285
